Year,Sex,States,Count,topicdesc,measuredesc,response,data_value,age_group
2014,Female,Colorado,1746,Cigarette Use (Adults),Smoking Status,Former,22.8,45 to 64
2014,Female,Colorado,1592,Cigarette Use (Adults),Smoking Status,Former,22.8,65+
2018,Female,Connecticut,282,Smokeless Tobacco Use (Adults),User Status,Not Current,99.3,25 to 44
2018,Female,Connecticut,1442,Smokeless Tobacco Use (Adults),User Status,Not Current,99.3,45 to 64
2018,Female,Connecticut,1517,Smokeless Tobacco Use (Adults),User Status,Not Current,99.3,65+
2018,Female,Connecticut,282,E-Cigarette Use (Adults),Frequency of Use,Some Days,73.3,25 to 44
2018,Female,Connecticut,1442,E-Cigarette Use (Adults),Frequency of Use,Some Days,73.3,45 to 64
2018,Female,Connecticut,1517,E-Cigarette Use (Adults),Frequency of Use,Some Days,73.3,65+
2018,Female,Connecticut,282,E-Cigarette Use (Adults),Frequency of Use,Every Day,26.7,25 to 44
2018,Female,Connecticut,1442,E-Cigarette Use (Adults),Frequency of Use,Every Day,26.7,45 to 64
2018,Female,Connecticut,1517,E-Cigarette Use (Adults),Frequency of Use,Every Day,26.7,65+
2018,Female,Connecticut,282,Cigarette Use (Adults),Smoking Status,Current,10.8,25 to 44
2018,Female,Connecticut,1442,Cigarette Use (Adults),Smoking Status,Current,10.8,45 to 64
2018,Female,Connecticut,1517,Cigarette Use (Adults),Smoking Status,Current,10.8,65+
2018,Female,Connecticut,282,Cigarette Use (Adults),Smoking Status,Never,63.5,25 to 44
2018,Female,Connecticut,1442,Cigarette Use (Adults),Smoking Status,Never,63.5,45 to 64
2018,Female,Connecticut,1517,Cigarette Use (Adults),Smoking Status,Never,63.5,65+
2018,Female,Connecticut,282,Cigarette Use (Adults),Smoking Frequency,Some Days,32.1,25 to 44
2018,Female,Connecticut,1442,Cigarette Use (Adults),Smoking Frequency,Some Days,32.1,45 to 64
2018,Female,Connecticut,1517,Cigarette Use (Adults),Smoking Frequency,Some Days,32.1,65+
2018,Female,Connecticut,282,E-Cigarette Use (Adults),User Status,Former,12.6,25 to 44
2018,Female,Connecticut,1442,E-Cigarette Use (Adults),User Status,Former,12.6,45 to 64
2018,Female,Connecticut,1517,E-Cigarette Use (Adults),User Status,Former,12.6,65+
2018,Female,Connecticut,282,Cigarette Use (Adults),Smoking Status,Former,25.7,25 to 44
2018,Female,Connecticut,1442,Cigarette Use (Adults),Smoking Status,Former,25.7,45 to 64
2018,Female,Connecticut,1517,Cigarette Use (Adults),Smoking Status,Former,25.7,65+
2018,Female,Connecticut,282,E-Cigarette Use (Adults),User Status,Current,3.9,25 to 44
2018,Female,Connecticut,1442,E-Cigarette Use (Adults),User Status,Current,3.9,45 to 64
2018,Female,Connecticut,1517,E-Cigarette Use (Adults),User Status,Current,3.9,65+
2018,Female,Connecticut,282,E-Cigarette Use (Adults),User Status,Never,83.5,25 to 44
2018,Female,Connecticut,1442,E-Cigarette Use (Adults),User Status,Never,83.5,45 to 64
2018,Female,Connecticut,1517,E-Cigarette Use (Adults),User Status,Never,83.5,65+
2018,Female,Connecticut,282,Cigarette Use (Adults),Smoking Frequency,Every Day,67.9,25 to 44
2018,Female,Connecticut,1442,Cigarette Use (Adults),Smoking Frequency,Every Day,67.9,45 to 64
2018,Female,Connecticut,1517,Cigarette Use (Adults),Smoking Frequency,Every Day,67.9,65+
2018,Female,Connecticut,282,Smokeless Tobacco Use (Adults),User Status,Current,0.7,25 to 44
2018,Female,Connecticut,1442,Smokeless Tobacco Use (Adults),User Status,Current,0.7,45 to 64
2018,Female,Connecticut,1517,Smokeless Tobacco Use (Adults),User Status,Current,0.7,65+
2018,Male,Connecticut,26,E-Cigarette Use (Adults),Frequency of Use,Some Days,57.2,65+
2018,Male,Connecticut,26,E-Cigarette Use (Adults),Frequency of Use,Every Day,42.8,65+
2018,Male,Connecticut,26,E-Cigarette Use (Adults),User Status,Former,15.5,65+
2018,Male,Connecticut,26,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,24.4,65+
2018,Male,Connecticut,26,Cigarette Use (Adults),Smoking Frequency,Some Days,34.9,65+
2018,Male,Connecticut,26,Cigarette Use (Adults),Smoking Status,Former,28.9,65+
2018,Male,Connecticut,26,Cigarette Use (Adults),Smoking Frequency,Every Day,65.1,65+
2018,Male,Connecticut,26,E-Cigarette Use (Adults),User Status,Never,77.1,65+
2018,Male,Connecticut,26,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,75.6,65+
2018,Male,Connecticut,26,E-Cigarette Use (Adults),User Status,Current,7.4,65+
2018,Male,Connecticut,26,Cigarette Use (Adults),Smoking Status,Never,57.5,65+
2018,Male,Connecticut,26,Cigarette Use (Adults),Smoking Status,Current,13.6,65+
2018,Male,Connecticut,26,Smokeless Tobacco Use (Adults),User Status,Not Current,97.0,65+
2018,Male,Connecticut,26,Smokeless Tobacco Use (Adults),User Status,Current,3.0,65+
2017,Female,Connecticut,274,E-Cigarette Use (Adults),User Status,Never,86.6,25 to 44
2017,Female,Connecticut,1442,E-Cigarette Use (Adults),User Status,Never,86.6,45 to 64
2017,Female,Connecticut,1527,E-Cigarette Use (Adults),User Status,Never,86.6,65+
2017,Female,Connecticut,274,Cigarette Use (Adults),Smoking Status,Never,64.0,25 to 44
2017,Female,Connecticut,1442,Cigarette Use (Adults),Smoking Status,Never,64.0,45 to 64
2017,Female,Connecticut,1527,Cigarette Use (Adults),Smoking Status,Never,64.0,65+
2017,Female,Connecticut,274,Cigarette Use (Adults),Smoking Frequency,Some Days,31.2,25 to 44
2017,Female,Connecticut,1442,Cigarette Use (Adults),Smoking Frequency,Some Days,31.2,45 to 64
2017,Female,Connecticut,1527,Cigarette Use (Adults),Smoking Frequency,Some Days,31.2,65+
2017,Female,Connecticut,274,E-Cigarette Use (Adults),Frequency of Use,Every Day,32.4,25 to 44
2017,Female,Connecticut,1442,E-Cigarette Use (Adults),Frequency of Use,Every Day,32.4,45 to 64
2017,Female,Connecticut,1527,E-Cigarette Use (Adults),Frequency of Use,Every Day,32.4,65+
2017,Female,Connecticut,274,Cigarette Use (Adults),Smoking Frequency,Every Day,68.8,25 to 44
2017,Female,Connecticut,1442,Cigarette Use (Adults),Smoking Frequency,Every Day,68.8,45 to 64
2017,Female,Connecticut,1527,Cigarette Use (Adults),Smoking Frequency,Every Day,68.8,65+
2017,Female,Connecticut,274,Smokeless Tobacco Use (Adults),User Status,Current,0.6,25 to 44
2017,Female,Connecticut,1442,Smokeless Tobacco Use (Adults),User Status,Current,0.6,45 to 64
2017,Female,Connecticut,1527,Smokeless Tobacco Use (Adults),User Status,Current,0.6,65+
2017,Female,Connecticut,274,Smokeless Tobacco Use (Adults),User Status,Not Current,99.4,25 to 44
2017,Female,Connecticut,1442,Smokeless Tobacco Use (Adults),User Status,Not Current,99.4,45 to 64
2017,Female,Connecticut,1527,Smokeless Tobacco Use (Adults),User Status,Not Current,99.4,65+
2017,Female,Connecticut,274,E-Cigarette Use (Adults),User Status,Current,2.0,25 to 44
2017,Female,Connecticut,1442,E-Cigarette Use (Adults),User Status,Current,2.0,45 to 64
2017,Female,Connecticut,1527,E-Cigarette Use (Adults),User Status,Current,2.0,65+
2017,Female,Connecticut,274,Cigarette Use (Adults),Smoking Status,Current,11.5,25 to 44
2017,Female,Connecticut,1442,Cigarette Use (Adults),Smoking Status,Current,11.5,45 to 64
2017,Female,Connecticut,1527,Cigarette Use (Adults),Smoking Status,Current,11.5,65+
2017,Female,Connecticut,274,E-Cigarette Use (Adults),Frequency of Use,Some Days,67.6,25 to 44
2017,Female,Connecticut,1442,E-Cigarette Use (Adults),Frequency of Use,Some Days,67.6,45 to 64
2017,Female,Connecticut,1527,E-Cigarette Use (Adults),Frequency of Use,Some Days,67.6,65+
2017,Female,Connecticut,274,E-Cigarette Use (Adults),User Status,Former,11.5,25 to 44
2017,Female,Connecticut,1442,E-Cigarette Use (Adults),User Status,Former,11.5,45 to 64
2017,Female,Connecticut,1527,E-Cigarette Use (Adults),User Status,Former,11.5,65+
2017,Female,Connecticut,274,Cigarette Use (Adults),Smoking Status,Former,24.5,25 to 44
2017,Female,Connecticut,1442,Cigarette Use (Adults),Smoking Status,Former,24.5,45 to 64
2017,Female,Connecticut,1527,Cigarette Use (Adults),Smoking Status,Former,24.5,65+
2017,Male,Connecticut,20,E-Cigarette Use (Adults),User Status,Never,82.1,65+
2017,Male,Connecticut,20,Cigarette Use (Adults),Smoking Status,Current,14.1,65+
2017,Male,Connecticut,20,E-Cigarette Use (Adults),Frequency of Use,Every Day,39.3,65+
2017,Male,Connecticut,20,Cigarette Use (Adults),Smoking Status,Former,27.6,65+
2017,Male,Connecticut,20,Cigarette Use (Adults),Smoking Status,Never,58.3,65+
2017,Male,Connecticut,20,E-Cigarette Use (Adults),User Status,Former,13.4,65+
2017,Male,Connecticut,20,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,41.8,65+
2017,Male,Connecticut,20,E-Cigarette Use (Adults),Frequency of Use,Some Days,60.7,65+
2017,Male,Connecticut,20,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,58.2,65+
2017,Male,Connecticut,20,Cigarette Use (Adults),Smoking Frequency,Every Day,62.7,65+
2017,Male,Connecticut,20,E-Cigarette Use (Adults),User Status,Current,4.5,65+
2017,Male,Connecticut,20,Cigarette Use (Adults),Smoking Frequency,Some Days,37.3,65+
2017,Male,Connecticut,20,Smokeless Tobacco Use (Adults),User Status,Not Current,97.0,65+
2017,Male,Connecticut,20,Smokeless Tobacco Use (Adults),User Status,Current,3.0,65+
2016,Female,Connecticut,286,Cigarette Use (Adults),Smoking Status,Former,25.0,25 to 44
2016,Female,Connecticut,1480,Cigarette Use (Adults),Smoking Status,Former,25.0,45 to 64
2016,Female,Connecticut,1508,Cigarette Use (Adults),Smoking Status,Former,25.0,65+
2016,Female,Connecticut,286,E-Cigarette Use (Adults),User Status,Never,85.6,25 to 44
2016,Female,Connecticut,1480,E-Cigarette Use (Adults),User Status,Never,85.6,45 to 64
2016,Female,Connecticut,1508,E-Cigarette Use (Adults),User Status,Never,85.6,65+
2016,Female,Connecticut,286,Cigarette Use (Adults),Smoking Status,Current,12.0,25 to 44
2016,Female,Connecticut,1480,Cigarette Use (Adults),Smoking Status,Current,12.0,45 to 64
2016,Female,Connecticut,1508,Cigarette Use (Adults),Smoking Status,Current,12.0,65+
2016,Female,Connecticut,286,Smokeless Tobacco Use (Adults),User Status,Not Current,99.3,25 to 44
2016,Female,Connecticut,1480,Smokeless Tobacco Use (Adults),User Status,Not Current,99.3,45 to 64
2016,Female,Connecticut,1508,Smokeless Tobacco Use (Adults),User Status,Not Current,99.3,65+
2016,Female,Connecticut,286,E-Cigarette Use (Adults),Frequency of Use,Every Day,31.1,25 to 44
2016,Female,Connecticut,1480,E-Cigarette Use (Adults),Frequency of Use,Every Day,31.1,45 to 64
2016,Female,Connecticut,1508,E-Cigarette Use (Adults),Frequency of Use,Every Day,31.1,65+
2016,Female,Connecticut,286,Smokeless Tobacco Use (Adults),User Status,Current,0.7,25 to 44
2016,Female,Connecticut,1480,Smokeless Tobacco Use (Adults),User Status,Current,0.7,45 to 64
2016,Female,Connecticut,1508,Smokeless Tobacco Use (Adults),User Status,Current,0.7,65+
2016,Female,Connecticut,286,E-Cigarette Use (Adults),Frequency of Use,Some Days,68.9,25 to 44
2016,Female,Connecticut,1480,E-Cigarette Use (Adults),Frequency of Use,Some Days,68.9,45 to 64
2016,Female,Connecticut,1508,E-Cigarette Use (Adults),Frequency of Use,Some Days,68.9,65+
2016,Female,Connecticut,286,Cigarette Use (Adults),Smoking Frequency,Every Day,72.5,25 to 44
2016,Female,Connecticut,1480,Cigarette Use (Adults),Smoking Frequency,Every Day,72.5,45 to 64
2016,Female,Connecticut,1508,Cigarette Use (Adults),Smoking Frequency,Every Day,72.5,65+
2016,Female,Connecticut,286,Cigarette Use (Adults),Smoking Frequency,Some Days,27.5,25 to 44
2016,Female,Connecticut,1480,Cigarette Use (Adults),Smoking Frequency,Some Days,27.5,45 to 64
2016,Female,Connecticut,1508,Cigarette Use (Adults),Smoking Frequency,Some Days,27.5,65+
2016,Female,Connecticut,286,E-Cigarette Use (Adults),User Status,Former,11.4,25 to 44
2016,Female,Connecticut,1480,E-Cigarette Use (Adults),User Status,Former,11.4,45 to 64
2016,Female,Connecticut,1508,E-Cigarette Use (Adults),User Status,Former,11.4,65+
2016,Female,Connecticut,286,Cigarette Use (Adults),Smoking Status,Never,63.0,25 to 44
2016,Female,Connecticut,1480,Cigarette Use (Adults),Smoking Status,Never,63.0,45 to 64
2016,Female,Connecticut,1508,Cigarette Use (Adults),Smoking Status,Never,63.0,65+
2016,Female,Connecticut,286,E-Cigarette Use (Adults),User Status,Current,3.0,25 to 44
2016,Female,Connecticut,1480,E-Cigarette Use (Adults),User Status,Current,3.0,45 to 64
2016,Female,Connecticut,1508,E-Cigarette Use (Adults),User Status,Current,3.0,65+
2016,Male,Connecticut,0,Cigarette Use (Adults),Smoking Frequency,Some Days,33.3,25 to 44
2016,Male,Connecticut,0,Smokeless Tobacco Use (Adults),User Status,Current,3.4,25 to 44
2016,Male,Connecticut,0,E-Cigarette Use (Adults),Frequency of Use,Every Day,24.8,25 to 44
2016,Male,Connecticut,0,Cigarette Use (Adults),Smoking Status,Current,14.8,25 to 44
2016,Male,Connecticut,0,E-Cigarette Use (Adults),User Status,Current,5.3,25 to 44
2016,Male,Connecticut,0,E-Cigarette Use (Adults),User Status,Former,16.0,25 to 44
2016,Male,Connecticut,0,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,46.3,25 to 44
2016,Male,Connecticut,0,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,53.7,25 to 44
2016,Male,Connecticut,0,Cigarette Use (Adults),Smoking Status,Former,29.6,25 to 44
2016,Male,Connecticut,0,E-Cigarette Use (Adults),User Status,Never,78.7,25 to 44
2016,Male,Connecticut,0,Cigarette Use (Adults),Smoking Status,Never,55.6,25 to 44
2016,Male,Connecticut,0,Smokeless Tobacco Use (Adults),User Status,Not Current,96.6,25 to 44
2016,Male,Connecticut,0,Cigarette Use (Adults),Smoking Frequency,Every Day,66.7,25 to 44
2016,Male,Connecticut,0,E-Cigarette Use (Adults),Frequency of Use,Some Days,75.2,25 to 44
2015,Female,Connecticut,292,Cigarette Use (Adults),Smoking Frequency,Every Day,66.9,25 to 44
2015,Female,Connecticut,1560,Cigarette Use (Adults),Smoking Frequency,Every Day,66.9,45 to 64
2015,Female,Connecticut,1491,Cigarette Use (Adults),Smoking Frequency,Every Day,66.9,65+
2015,Female,Connecticut,292,Cigarette Use (Adults),Smoking Status,Never,64.2,25 to 44
2015,Female,Connecticut,1560,Cigarette Use (Adults),Smoking Status,Never,64.2,45 to 64
2015,Female,Connecticut,1491,Cigarette Use (Adults),Smoking Status,Never,64.2,65+
2015,Female,Connecticut,292,Cigarette Use (Adults),Smoking Frequency,Some Days,33.1,25 to 44
2015,Female,Connecticut,1560,Cigarette Use (Adults),Smoking Frequency,Some Days,33.1,45 to 64
2015,Female,Connecticut,1491,Cigarette Use (Adults),Smoking Frequency,Some Days,33.1,65+
2015,Female,Connecticut,292,Smokeless Tobacco Use (Adults),User Status,Not Current,99.4,25 to 44
2015,Female,Connecticut,1560,Smokeless Tobacco Use (Adults),User Status,Not Current,99.4,45 to 64
2015,Female,Connecticut,1491,Smokeless Tobacco Use (Adults),User Status,Not Current,99.4,65+
2015,Female,Connecticut,292,Cigarette Use (Adults),Smoking Status,Former,24.9,25 to 44
2015,Female,Connecticut,1560,Cigarette Use (Adults),Smoking Status,Former,24.9,45 to 64
2015,Female,Connecticut,1491,Cigarette Use (Adults),Smoking Status,Former,24.9,65+
2015,Female,Connecticut,292,Smokeless Tobacco Use (Adults),User Status,Current,0.6,25 to 44
2015,Female,Connecticut,1560,Smokeless Tobacco Use (Adults),User Status,Current,0.6,45 to 64
2015,Female,Connecticut,1491,Smokeless Tobacco Use (Adults),User Status,Current,0.6,65+
2015,Female,Connecticut,292,Cigarette Use (Adults),Smoking Status,Current,10.9,25 to 44
2015,Female,Connecticut,1560,Cigarette Use (Adults),Smoking Status,Current,10.9,45 to 64
2015,Female,Connecticut,1491,Cigarette Use (Adults),Smoking Status,Current,10.9,65+
2015,Male,Connecticut,0,Cigarette Use (Adults),Smoking Status,Current,16.3,25 to 44
2015,Male,Connecticut,16,Cigarette Use (Adults),Smoking Status,Current,16.3,45 to 64
2015,Male,Connecticut,20,Cigarette Use (Adults),Smoking Status,Current,16.3,65+
2015,Male,Connecticut,0,Cigarette Use (Adults),Smoking Status,Never,53.5,25 to 44
2015,Male,Connecticut,16,Cigarette Use (Adults),Smoking Status,Never,53.5,45 to 64
2015,Male,Connecticut,20,Cigarette Use (Adults),Smoking Status,Never,53.5,65+
2015,Male,Connecticut,0,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,73.2,25 to 44
2015,Male,Connecticut,16,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,73.2,45 to 64
2015,Male,Connecticut,20,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,73.2,65+
2015,Male,Connecticut,0,Smokeless Tobacco Use (Adults),User Status,Current,2.9,25 to 44
2015,Male,Connecticut,16,Smokeless Tobacco Use (Adults),User Status,Current,2.9,45 to 64
2015,Male,Connecticut,20,Smokeless Tobacco Use (Adults),User Status,Current,2.9,65+
2015,Male,Connecticut,0,Cigarette Use (Adults),Smoking Status,Former,30.2,25 to 44
2015,Male,Connecticut,16,Cigarette Use (Adults),Smoking Status,Former,30.2,45 to 64
2015,Male,Connecticut,20,Cigarette Use (Adults),Smoking Status,Former,30.2,65+
2015,Male,Connecticut,0,Smokeless Tobacco Use (Adults),User Status,Not Current,97.1,25 to 44
2015,Male,Connecticut,16,Smokeless Tobacco Use (Adults),User Status,Not Current,97.1,45 to 64
2015,Male,Connecticut,20,Smokeless Tobacco Use (Adults),User Status,Not Current,97.1,65+
2015,Male,Connecticut,0,Cigarette Use (Adults),Smoking Frequency,Some Days,33.4,25 to 44
2015,Male,Connecticut,16,Cigarette Use (Adults),Smoking Frequency,Some Days,33.4,45 to 64
2015,Male,Connecticut,20,Cigarette Use (Adults),Smoking Frequency,Some Days,33.4,65+
2015,Male,Connecticut,0,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,26.8,25 to 44
2015,Male,Connecticut,16,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,26.8,45 to 64
2015,Male,Connecticut,20,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,26.8,65+
2015,Male,Connecticut,0,Cigarette Use (Adults),Smoking Frequency,Every Day,66.6,25 to 44
2015,Male,Connecticut,16,Cigarette Use (Adults),Smoking Frequency,Every Day,66.6,45 to 64
2015,Male,Connecticut,20,Cigarette Use (Adults),Smoking Frequency,Every Day,66.6,65+
2014,Female,Connecticut,325,Smokeless Tobacco Use (Adults),User Status,Current,0.7,25 to 44
2014,Female,Connecticut,1517,Smokeless Tobacco Use (Adults),User Status,Current,0.7,45 to 64
2014,Female,Connecticut,1440,Smokeless Tobacco Use (Adults),User Status,Current,0.7,65+
2014,Female,Connecticut,325,Cigarette Use (Adults),Smoking Frequency,Every Day,68.6,25 to 44
2014,Female,Connecticut,1517,Cigarette Use (Adults),Smoking Frequency,Every Day,68.6,45 to 64
2014,Female,Connecticut,1440,Cigarette Use (Adults),Smoking Frequency,Every Day,68.6,65+
2014,Female,Connecticut,325,Cigarette Use (Adults),Smoking Status,Current,13.5,25 to 44
2014,Female,Connecticut,1517,Cigarette Use (Adults),Smoking Status,Current,13.5,45 to 64
2014,Female,Connecticut,1440,Cigarette Use (Adults),Smoking Status,Current,13.5,65+
2014,Female,Connecticut,325,Smokeless Tobacco Use (Adults),User Status,Not Current,99.3,25 to 44
2014,Female,Connecticut,1517,Smokeless Tobacco Use (Adults),User Status,Not Current,99.3,45 to 64
2014,Female,Connecticut,1440,Smokeless Tobacco Use (Adults),User Status,Not Current,99.3,65+
2014,Female,Connecticut,325,Cigarette Use (Adults),Smoking Frequency,Some Days,31.4,25 to 44
2014,Female,Connecticut,1517,Cigarette Use (Adults),Smoking Frequency,Some Days,31.4,45 to 64
2014,Female,Connecticut,1440,Cigarette Use (Adults),Smoking Frequency,Some Days,31.4,65+
2014,Female,Connecticut,325,Cigarette Use (Adults),Smoking Status,Former,26.4,25 to 44
2014,Female,Connecticut,1517,Cigarette Use (Adults),Smoking Status,Former,26.4,45 to 64
2014,Female,Connecticut,1440,Cigarette Use (Adults),Smoking Status,Former,26.4,65+
2014,Female,Connecticut,325,Cigarette Use (Adults),Smoking Status,Never,60.1,25 to 44
2014,Female,Connecticut,1517,Cigarette Use (Adults),Smoking Status,Never,60.1,45 to 64
2014,Female,Connecticut,1440,Cigarette Use (Adults),Smoking Status,Never,60.1,65+
2014,Male,Connecticut,20,Cigarette Use (Adults),Smoking Status,Former,29.1,65+
2014,Male,Connecticut,20,Cigarette Use (Adults),Smoking Status,Never,53.5,65+
2014,Male,Connecticut,20,Smokeless Tobacco Use (Adults),User Status,Current,2.9,65+
2014,Male,Connecticut,20,Cigarette Use (Adults),Smoking Frequency,Some Days,35.8,65+
2014,Male,Connecticut,20,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,35.2,65+
2014,Male,Connecticut,20,Cigarette Use (Adults),Smoking Status,Current,17.5,65+
2014,Male,Connecticut,20,Smokeless Tobacco Use (Adults),User Status,Not Current,97.1,65+
2014,Male,Connecticut,20,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,64.8,65+
2014,Male,Connecticut,20,Cigarette Use (Adults),Smoking Frequency,Every Day,64.2,65+
2018,Male,Delaware,0,E-Cigarette Use (Adults),Frequency of Use,Some Days,58.6,25 to 44
2018,Male,Delaware,0,E-Cigarette Use (Adults),User Status,Never,74.9,25 to 44
2018,Male,Delaware,0,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,37.3,25 to 44
2018,Male,Delaware,0,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,62.7,25 to 44
2018,Male,Delaware,0,E-Cigarette Use (Adults),User Status,Current,5.9,25 to 44
2018,Male,Delaware,0,Cigarette Use (Adults),Smoking Frequency,Every Day,70.9,25 to 44
2018,Male,Delaware,0,Cigarette Use (Adults),Smoking Status,Former,27.1,25 to 44
2018,Male,Delaware,0,E-Cigarette Use (Adults),User Status,Former,19.2,25 to 44
2018,Male,Delaware,0,Smokeless Tobacco Use (Adults),User Status,Current,4.4,25 to 44
2018,Male,Delaware,0,E-Cigarette Use (Adults),Frequency of Use,Every Day,41.4,25 to 44
2018,Male,Delaware,0,Cigarette Use (Adults),Smoking Status,Current,18.3,25 to 44
2018,Male,Delaware,0,Cigarette Use (Adults),Smoking Frequency,Some Days,29.1,25 to 44
2018,Male,Delaware,0,Smokeless Tobacco Use (Adults),User Status,Not Current,95.6,25 to 44
2018,Male,Delaware,0,Cigarette Use (Adults),Smoking Status,Never,54.6,25 to 44
2018,Female,Delaware,85,Smokeless Tobacco Use (Adults),User Status,Current,1.2,25 to 44
2018,Female,Delaware,371,Smokeless Tobacco Use (Adults),User Status,Current,1.2,45 to 64
2018,Female,Delaware,453,Smokeless Tobacco Use (Adults),User Status,Current,1.2,65+
2018,Female,Delaware,85,E-Cigarette Use (Adults),User Status,Never,80.4,25 to 44
2018,Female,Delaware,371,E-Cigarette Use (Adults),User Status,Never,80.4,45 to 64
2018,Female,Delaware,453,E-Cigarette Use (Adults),User Status,Never,80.4,65+
2018,Female,Delaware,85,E-Cigarette Use (Adults),User Status,Former,15.9,25 to 44
2018,Female,Delaware,371,E-Cigarette Use (Adults),User Status,Former,15.9,45 to 64
2018,Female,Delaware,453,E-Cigarette Use (Adults),User Status,Former,15.9,65+
2018,Female,Delaware,85,E-Cigarette Use (Adults),Frequency of Use,Some Days,61.5,25 to 44
2018,Female,Delaware,371,E-Cigarette Use (Adults),Frequency of Use,Some Days,61.5,45 to 64
2018,Female,Delaware,453,E-Cigarette Use (Adults),Frequency of Use,Some Days,61.5,65+
2018,Female,Delaware,85,Cigarette Use (Adults),Smoking Status,Former,24.4,25 to 44
2018,Female,Delaware,371,Cigarette Use (Adults),Smoking Status,Former,24.4,45 to 64
2018,Female,Delaware,453,Cigarette Use (Adults),Smoking Status,Former,24.4,65+
2018,Female,Delaware,85,Cigarette Use (Adults),Smoking Status,Never,60.7,25 to 44
2018,Female,Delaware,371,Cigarette Use (Adults),Smoking Status,Never,60.7,45 to 64
2018,Female,Delaware,453,Cigarette Use (Adults),Smoking Status,Never,60.7,65+
2018,Female,Delaware,85,E-Cigarette Use (Adults),User Status,Current,3.7,25 to 44
2018,Female,Delaware,371,E-Cigarette Use (Adults),User Status,Current,3.7,45 to 64
2018,Female,Delaware,453,E-Cigarette Use (Adults),User Status,Current,3.7,65+
2018,Female,Delaware,85,Cigarette Use (Adults),Smoking Frequency,Some Days,28.6,25 to 44
2018,Female,Delaware,371,Cigarette Use (Adults),Smoking Frequency,Some Days,28.6,45 to 64
2018,Female,Delaware,453,Cigarette Use (Adults),Smoking Frequency,Some Days,28.6,65+
2018,Female,Delaware,85,Cigarette Use (Adults),Smoking Frequency,Every Day,71.4,25 to 44
2018,Female,Delaware,371,Cigarette Use (Adults),Smoking Frequency,Every Day,71.4,45 to 64
2018,Female,Delaware,453,Cigarette Use (Adults),Smoking Frequency,Every Day,71.4,65+
2018,Female,Delaware,85,E-Cigarette Use (Adults),Frequency of Use,Every Day,38.5,25 to 44
2018,Female,Delaware,371,E-Cigarette Use (Adults),Frequency of Use,Every Day,38.5,45 to 64
2018,Female,Delaware,453,E-Cigarette Use (Adults),Frequency of Use,Every Day,38.5,65+
2018,Female,Delaware,85,Cigarette Use (Adults),Smoking Status,Current,14.9,25 to 44
2018,Female,Delaware,371,Cigarette Use (Adults),Smoking Status,Current,14.9,45 to 64
2018,Female,Delaware,453,Cigarette Use (Adults),Smoking Status,Current,14.9,65+
2018,Female,Delaware,85,Smokeless Tobacco Use (Adults),User Status,Not Current,98.8,25 to 44
2018,Female,Delaware,371,Smokeless Tobacco Use (Adults),User Status,Not Current,98.8,45 to 64
2018,Female,Delaware,453,Smokeless Tobacco Use (Adults),User Status,Not Current,98.8,65+
2017,Male,Delaware,0,Smokeless Tobacco Use (Adults),User Status,Current,4.7,25 to 44
2017,Male,Delaware,0,Cigarette Use (Adults),Smoking Frequency,Every Day,63.6,25 to 44
2017,Male,Delaware,0,Cigarette Use (Adults),Smoking Status,Former,29.5,25 to 44
2017,Male,Delaware,0,E-Cigarette Use (Adults),Frequency of Use,Some Days,61.8,25 to 44
2017,Male,Delaware,0,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,75.9,25 to 44
2017,Male,Delaware,0,Cigarette Use (Adults),Smoking Frequency,Some Days,36.4,25 to 44
2017,Male,Delaware,0,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,24.1,25 to 44
2017,Male,Delaware,0,Cigarette Use (Adults),Smoking Status,Never,52.6,25 to 44
2017,Male,Delaware,0,E-Cigarette Use (Adults),User Status,Current,5.8,25 to 44
2017,Male,Delaware,0,E-Cigarette Use (Adults),User Status,Never,77.4,25 to 44
2017,Male,Delaware,0,Smokeless Tobacco Use (Adults),User Status,Not Current,95.3,25 to 44
2017,Male,Delaware,0,E-Cigarette Use (Adults),Frequency of Use,Every Day,38.2,25 to 44
2017,Male,Delaware,0,E-Cigarette Use (Adults),User Status,Former,16.8,25 to 44
2017,Male,Delaware,0,Cigarette Use (Adults),Smoking Status,Current,17.9,25 to 44
2017,Female,Delaware,71,Cigarette Use (Adults),Smoking Frequency,Some Days,31.9,25 to 44
