,Year,States,Sex,Count,topicdesc,measuredesc,response,data_value,age_group
3688,2016,Georgia,Male,1210,Cigarette Use (Adults),Smoking Status,Current,21.2,45 to 64
3689,2016,Georgia,Male,2572,Cigarette Use (Adults),Smoking Status,Current,21.2,65+
3690,2016,Georgia,Male,30,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,49.7,25 to 44
3691,2016,Georgia,Male,1210,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,49.7,45 to 64
3692,2016,Georgia,Male,2572,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,49.7,65+
3693,2016,Georgia,Male,30,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,50.3,25 to 44
3694,2016,Georgia,Male,1210,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,50.3,45 to 64
3695,2016,Georgia,Male,2572,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,50.3,65+
3696,2016,Georgia,Male,30,Cigarette Use (Adults),Smoking Status,Never,55.7,25 to 44
3697,2016,Georgia,Male,1210,Cigarette Use (Adults),Smoking Status,Never,55.7,45 to 64
3698,2016,Georgia,Male,2572,Cigarette Use (Adults),Smoking Status,Never,55.7,65+
3699,2016,Georgia,Male,30,Cigarette Use (Adults),Smoking Frequency,Every Day,67.0,25 to 44
3700,2016,Georgia,Male,1210,Cigarette Use (Adults),Smoking Frequency,Every Day,67.0,45 to 64
3701,2016,Georgia,Male,2572,Cigarette Use (Adults),Smoking Frequency,Every Day,67.0,65+
3702,2015,Georgia,Female,40,Cigarette Use (Adults),Smoking Frequency,Some Days,25.1,25 to 44
3703,2015,Georgia,Female,950,Cigarette Use (Adults),Smoking Frequency,Some Days,25.1,45 to 64
3704,2015,Georgia,Female,1991,Cigarette Use (Adults),Smoking Frequency,Some Days,25.1,65+
3705,2015,Georgia,Female,40,Smokeless Tobacco Use (Adults),User Status,Not Current,99.1,25 to 44
3706,2015,Georgia,Female,950,Smokeless Tobacco Use (Adults),User Status,Not Current,99.1,45 to 64
3707,2015,Georgia,Female,1991,Smokeless Tobacco Use (Adults),User Status,Not Current,99.1,65+
3708,2015,Georgia,Female,40,Cigarette Use (Adults),Smoking Frequency,Every Day,74.9,25 to 44
3709,2015,Georgia,Female,950,Cigarette Use (Adults),Smoking Frequency,Every Day,74.9,45 to 64
3710,2015,Georgia,Female,1991,Cigarette Use (Adults),Smoking Frequency,Every Day,74.9,65+
3711,2015,Georgia,Female,40,Cigarette Use (Adults),Smoking Status,Former,18.3,25 to 44
3712,2015,Georgia,Female,950,Cigarette Use (Adults),Smoking Status,Former,18.3,45 to 64
3713,2015,Georgia,Female,1991,Cigarette Use (Adults),Smoking Status,Former,18.3,65+
3714,2015,Georgia,Female,40,Cigarette Use (Adults),Smoking Status,Never,66.1,25 to 44
3715,2015,Georgia,Female,950,Cigarette Use (Adults),Smoking Status,Never,66.1,45 to 64
3716,2015,Georgia,Female,1991,Cigarette Use (Adults),Smoking Status,Never,66.1,65+
3720,2015,Georgia,Female,40,Cigarette Use (Adults),Smoking Status,Current,15.5,25 to 44
3721,2015,Georgia,Female,950,Cigarette Use (Adults),Smoking Status,Current,15.5,45 to 64
3722,2015,Georgia,Female,1991,Cigarette Use (Adults),Smoking Status,Current,15.5,65+
3726,2015,Georgia,Female,40,Smokeless Tobacco Use (Adults),User Status,Current,0.9,25 to 44
3727,2015,Georgia,Female,950,Smokeless Tobacco Use (Adults),User Status,Current,0.9,45 to 64
3728,2015,Georgia,Female,1991,Smokeless Tobacco Use (Adults),User Status,Current,0.9,65+
3729,2015,Georgia,Male,39,Cigarette Use (Adults),Smoking Status,Never,53.6,25 to 44
3730,2015,Georgia,Male,1254,Cigarette Use (Adults),Smoking Status,Never,53.6,45 to 64
3731,2015,Georgia,Male,2412,Cigarette Use (Adults),Smoking Status,Never,53.6,65+
3732,2015,Georgia,Male,39,Smokeless Tobacco Use (Adults),User Status,Not Current,92.0,25 to 44
3733,2015,Georgia,Male,1254,Smokeless Tobacco Use (Adults),User Status,Not Current,92.0,45 to 64
3734,2015,Georgia,Male,2412,Smokeless Tobacco Use (Adults),User Status,Not Current,92.0,65+
3735,2015,Georgia,Male,39,Cigarette Use (Adults),Smoking Frequency,Every Day,65.2,25 to 44
3736,2015,Georgia,Male,1254,Cigarette Use (Adults),Smoking Frequency,Every Day,65.2,45 to 64
3737,2015,Georgia,Male,2412,Cigarette Use (Adults),Smoking Frequency,Every Day,65.2,65+
3738,2015,Georgia,Male,39,Smokeless Tobacco Use (Adults),User Status,Current,8.0,25 to 44
3739,2015,Georgia,Male,1254,Smokeless Tobacco Use (Adults),User Status,Current,8.0,45 to 64
3740,2015,Georgia,Male,2412,Smokeless Tobacco Use (Adults),User Status,Current,8.0,65+
3741,2015,Georgia,Male,39,Cigarette Use (Adults),Smoking Status,Former,26.4,25 to 44
3742,2015,Georgia,Male,1254,Cigarette Use (Adults),Smoking Status,Former,26.4,45 to 64
3743,2015,Georgia,Male,2412,Cigarette Use (Adults),Smoking Status,Former,26.4,65+
3744,2015,Georgia,Male,39,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,51.1,25 to 44
3745,2015,Georgia,Male,1254,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,51.1,45 to 64
3746,2015,Georgia,Male,2412,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,51.1,65+
3747,2015,Georgia,Male,39,Cigarette Use (Adults),Smoking Status,Current,20.0,25 to 44
3748,2015,Georgia,Male,1254,Cigarette Use (Adults),Smoking Status,Current,20.0,45 to 64
3749,2015,Georgia,Male,2412,Cigarette Use (Adults),Smoking Status,Current,20.0,65+
3750,2015,Georgia,Male,39,Cigarette Use (Adults),Smoking Frequency,Some Days,34.8,25 to 44
3751,2015,Georgia,Male,1254,Cigarette Use (Adults),Smoking Frequency,Some Days,34.8,45 to 64
3752,2015,Georgia,Male,2412,Cigarette Use (Adults),Smoking Frequency,Some Days,34.8,65+
3753,2015,Georgia,Male,39,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,48.9,25 to 44
3754,2015,Georgia,Male,1254,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,48.9,45 to 64
3755,2015,Georgia,Male,2412,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,48.9,65+
3756,2014,Georgia,Female,27,Cigarette Use (Adults),Smoking Status,Current,13.6,25 to 44
3757,2014,Georgia,Female,942,Cigarette Use (Adults),Smoking Status,Current,13.6,45 to 64
3758,2014,Georgia,Female,1950,Cigarette Use (Adults),Smoking Status,Current,13.6,65+
3759,2014,Georgia,Female,27,Cigarette Use (Adults),Smoking Status,Former,18.6,25 to 44
3760,2014,Georgia,Female,942,Cigarette Use (Adults),Smoking Status,Former,18.6,45 to 64
3761,2014,Georgia,Female,1950,Cigarette Use (Adults),Smoking Status,Former,18.6,65+
3762,2014,Georgia,Female,27,Cigarette Use (Adults),Smoking Frequency,Every Day,72.6,25 to 44
3763,2014,Georgia,Female,942,Cigarette Use (Adults),Smoking Frequency,Every Day,72.6,45 to 64
3764,2014,Georgia,Female,1950,Cigarette Use (Adults),Smoking Frequency,Every Day,72.6,65+
3765,2014,Georgia,Female,27,Cigarette Use (Adults),Smoking Status,Never,67.8,25 to 44
3766,2014,Georgia,Female,942,Cigarette Use (Adults),Smoking Status,Never,67.8,45 to 64
3767,2014,Georgia,Female,1950,Cigarette Use (Adults),Smoking Status,Never,67.8,65+
3768,2014,Georgia,Female,27,Smokeless Tobacco Use (Adults),User Status,Current,1.5,25 to 44
3769,2014,Georgia,Female,942,Smokeless Tobacco Use (Adults),User Status,Current,1.5,45 to 64
3770,2014,Georgia,Female,1950,Smokeless Tobacco Use (Adults),User Status,Current,1.5,65+
3771,2014,Georgia,Female,27,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,63.9,25 to 44
3772,2014,Georgia,Female,942,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,63.9,45 to 64
3773,2014,Georgia,Female,1950,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,63.9,65+
3774,2014,Georgia,Female,27,Smokeless Tobacco Use (Adults),User Status,Not Current,98.5,25 to 44
3775,2014,Georgia,Female,942,Smokeless Tobacco Use (Adults),User Status,Not Current,98.5,45 to 64
3776,2014,Georgia,Female,1950,Smokeless Tobacco Use (Adults),User Status,Not Current,98.5,65+
3777,2014,Georgia,Female,27,Cigarette Use (Adults),Smoking Frequency,Some Days,27.4,25 to 44
3778,2014,Georgia,Female,942,Cigarette Use (Adults),Smoking Frequency,Some Days,27.4,45 to 64
3779,2014,Georgia,Female,1950,Cigarette Use (Adults),Smoking Frequency,Some Days,27.4,65+
3780,2014,Georgia,Female,27,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,36.1,25 to 44
3781,2014,Georgia,Female,942,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,36.1,45 to 64
3782,2014,Georgia,Female,1950,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,36.1,65+
3783,2014,Georgia,Male,48,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,58.5,25 to 44
3784,2014,Georgia,Male,1248,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,58.5,45 to 64
3785,2014,Georgia,Male,2479,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,58.5,65+
3786,2014,Georgia,Male,48,Cigarette Use (Adults),Smoking Frequency,Some Days,29.8,25 to 44
3787,2014,Georgia,Male,1248,Cigarette Use (Adults),Smoking Frequency,Some Days,29.8,45 to 64
3788,2014,Georgia,Male,2479,Cigarette Use (Adults),Smoking Frequency,Some Days,29.8,65+
3789,2014,Georgia,Male,48,Cigarette Use (Adults),Smoking Status,Never,52.1,25 to 44
3790,2014,Georgia,Male,1248,Cigarette Use (Adults),Smoking Status,Never,52.1,45 to 64
3791,2014,Georgia,Male,2479,Cigarette Use (Adults),Smoking Status,Never,52.1,65+
3792,2014,Georgia,Male,48,Smokeless Tobacco Use (Adults),User Status,Current,8.3,25 to 44
3793,2014,Georgia,Male,1248,Smokeless Tobacco Use (Adults),User Status,Current,8.3,45 to 64
3794,2014,Georgia,Male,2479,Smokeless Tobacco Use (Adults),User Status,Current,8.3,65+
3795,2014,Georgia,Male,48,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,41.5,25 to 44
3796,2014,Georgia,Male,1248,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,41.5,45 to 64
3797,2014,Georgia,Male,2479,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,41.5,65+
3798,2014,Georgia,Male,48,Smokeless Tobacco Use (Adults),User Status,Not Current,91.7,25 to 44
3799,2014,Georgia,Male,1248,Smokeless Tobacco Use (Adults),User Status,Not Current,91.7,45 to 64
3800,2014,Georgia,Male,2479,Smokeless Tobacco Use (Adults),User Status,Not Current,91.7,65+
3801,2014,Georgia,Male,48,Cigarette Use (Adults),Smoking Frequency,Every Day,70.2,25 to 44
3802,2014,Georgia,Male,1248,Cigarette Use (Adults),Smoking Frequency,Every Day,70.2,45 to 64
3803,2014,Georgia,Male,2479,Cigarette Use (Adults),Smoking Frequency,Every Day,70.2,65+
3804,2014,Georgia,Male,48,Cigarette Use (Adults),Smoking Status,Current,21.4,25 to 44
3805,2014,Georgia,Male,1248,Cigarette Use (Adults),Smoking Status,Current,21.4,45 to 64
3806,2014,Georgia,Male,2479,Cigarette Use (Adults),Smoking Status,Current,21.4,65+
3807,2014,Georgia,Male,48,Cigarette Use (Adults),Smoking Status,Former,26.5,25 to 44
3808,2014,Georgia,Male,1248,Cigarette Use (Adults),Smoking Status,Former,26.5,45 to 64
3809,2014,Georgia,Male,2479,Cigarette Use (Adults),Smoking Status,Former,26.5,65+
3810,2018,Hawaii,Female,0,E-Cigarette Use (Adults),User Status,Former,16.3,25 to 44
3811,2018,Hawaii,Female,77,E-Cigarette Use (Adults),User Status,Former,16.3,45 to 64
3812,2018,Hawaii,Female,282,E-Cigarette Use (Adults),User Status,Former,16.3,65+
3813,2018,Hawaii,Female,0,Cigarette Use (Adults),Smoking Frequency,Every Day,68.7,25 to 44
3814,2018,Hawaii,Female,77,Cigarette Use (Adults),Smoking Frequency,Every Day,68.7,45 to 64
3815,2018,Hawaii,Female,282,Cigarette Use (Adults),Smoking Frequency,Every Day,68.7,65+
3819,2018,Hawaii,Female,0,E-Cigarette Use (Adults),User Status,Never,79.2,25 to 44
3820,2018,Hawaii,Female,77,E-Cigarette Use (Adults),User Status,Never,79.2,45 to 64
3821,2018,Hawaii,Female,282,E-Cigarette Use (Adults),User Status,Never,79.2,65+
3822,2018,Hawaii,Female,0,Cigarette Use (Adults),Smoking Status,Never,66.9,25 to 44
3823,2018,Hawaii,Female,77,Cigarette Use (Adults),Smoking Status,Never,66.9,45 to 64
3824,2018,Hawaii,Female,282,Cigarette Use (Adults),Smoking Status,Never,66.9,65+
3825,2018,Hawaii,Female,0,Cigarette Use (Adults),Smoking Frequency,Some Days,31.3,25 to 44
3826,2018,Hawaii,Female,77,Cigarette Use (Adults),Smoking Frequency,Some Days,31.3,45 to 64
3827,2018,Hawaii,Female,282,Cigarette Use (Adults),Smoking Frequency,Some Days,31.3,65+
3828,2018,Hawaii,Female,0,Cigarette Use (Adults),Smoking Status,Former,22.2,25 to 44
3829,2018,Hawaii,Female,77,Cigarette Use (Adults),Smoking Status,Former,22.2,45 to 64
3830,2018,Hawaii,Female,282,Cigarette Use (Adults),Smoking Status,Former,22.2,65+
3831,2018,Hawaii,Female,0,Cigarette Use (Adults),Smoking Status,Current,10.9,25 to 44
3832,2018,Hawaii,Female,77,Cigarette Use (Adults),Smoking Status,Current,10.9,45 to 64
3833,2018,Hawaii,Female,282,Cigarette Use (Adults),Smoking Status,Current,10.9,65+
3834,2018,Hawaii,Female,0,Smokeless Tobacco Use (Adults),User Status,Current,1.0,25 to 44
3835,2018,Hawaii,Female,77,Smokeless Tobacco Use (Adults),User Status,Current,1.0,45 to 64
3836,2018,Hawaii,Female,282,Smokeless Tobacco Use (Adults),User Status,Current,1.0,65+
3837,2018,Hawaii,Female,0,E-Cigarette Use (Adults),User Status,Current,4.5,25 to 44
3838,2018,Hawaii,Female,77,E-Cigarette Use (Adults),User Status,Current,4.5,45 to 64
3839,2018,Hawaii,Female,282,E-Cigarette Use (Adults),User Status,Current,4.5,65+
3843,2018,Hawaii,Female,0,Smokeless Tobacco Use (Adults),User Status,Not Current,99.0,25 to 44
3844,2018,Hawaii,Female,77,Smokeless Tobacco Use (Adults),User Status,Not Current,99.0,45 to 64
3845,2018,Hawaii,Female,282,Smokeless Tobacco Use (Adults),User Status,Not Current,99.0,65+
3846,2018,Hawaii,Female,0,E-Cigarette Use (Adults),Frequency of Use,Some Days,65.0,25 to 44
3847,2018,Hawaii,Female,77,E-Cigarette Use (Adults),Frequency of Use,Some Days,65.0,45 to 64
3848,2018,Hawaii,Female,282,E-Cigarette Use (Adults),Frequency of Use,Some Days,65.0,65+
3849,2018,Hawaii,Female,0,E-Cigarette Use (Adults),Frequency of Use,Every Day,35.0,25 to 44
3850,2018,Hawaii,Female,77,E-Cigarette Use (Adults),Frequency of Use,Every Day,35.0,45 to 64
3851,2018,Hawaii,Female,282,E-Cigarette Use (Adults),Frequency of Use,Every Day,35.0,65+
3852,2018,Hawaii,Male,0,E-Cigarette Use (Adults),Frequency of Use,Every Day,34.7,25 to 44
3853,2018,Hawaii,Male,105,E-Cigarette Use (Adults),Frequency of Use,Every Day,34.7,45 to 64
3854,2018,Hawaii,Male,335,E-Cigarette Use (Adults),Frequency of Use,Every Day,34.7,65+
3855,2018,Hawaii,Male,0,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,42.4,25 to 44
3856,2018,Hawaii,Male,105,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,42.4,45 to 64
3857,2018,Hawaii,Male,335,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,42.4,65+
3858,2018,Hawaii,Male,0,E-Cigarette Use (Adults),User Status,Never,65.8,25 to 44
3859,2018,Hawaii,Male,105,E-Cigarette Use (Adults),User Status,Never,65.8,45 to 64
3860,2018,Hawaii,Male,335,E-Cigarette Use (Adults),User Status,Never,65.8,65+
3861,2018,Hawaii,Male,0,E-Cigarette Use (Adults),User Status,Current,9.8,25 to 44
3862,2018,Hawaii,Male,105,E-Cigarette Use (Adults),User Status,Current,9.8,45 to 64
3863,2018,Hawaii,Male,335,E-Cigarette Use (Adults),User Status,Current,9.8,65+
3864,2018,Hawaii,Male,0,E-Cigarette Use (Adults),Frequency of Use,Some Days,65.3,25 to 44
3865,2018,Hawaii,Male,105,E-Cigarette Use (Adults),Frequency of Use,Some Days,65.3,45 to 64
3866,2018,Hawaii,Male,335,E-Cigarette Use (Adults),Frequency of Use,Some Days,65.3,65+
3867,2018,Hawaii,Male,0,Cigarette Use (Adults),Smoking Frequency,Every Day,64.6,25 to 44
3868,2018,Hawaii,Male,105,Cigarette Use (Adults),Smoking Frequency,Every Day,64.6,45 to 64
3869,2018,Hawaii,Male,335,Cigarette Use (Adults),Smoking Frequency,Every Day,64.6,65+
3870,2018,Hawaii,Male,0,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,57.6,25 to 44
3871,2018,Hawaii,Male,105,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,57.6,45 to 64
3872,2018,Hawaii,Male,335,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,57.6,65+
3873,2018,Hawaii,Male,0,Cigarette Use (Adults),Smoking Status,Former,29.9,25 to 44
3874,2018,Hawaii,Male,105,Cigarette Use (Adults),Smoking Status,Former,29.9,45 to 64
3875,2018,Hawaii,Male,335,Cigarette Use (Adults),Smoking Status,Former,29.9,65+
3876,2018,Hawaii,Male,0,Smokeless Tobacco Use (Adults),User Status,Not Current,95.5,25 to 44
3877,2018,Hawaii,Male,105,Smokeless Tobacco Use (Adults),User Status,Not Current,95.5,45 to 64
3878,2018,Hawaii,Male,335,Smokeless Tobacco Use (Adults),User Status,Not Current,95.5,65+
3879,2018,Hawaii,Male,0,E-Cigarette Use (Adults),User Status,Former,24.4,25 to 44
3880,2018,Hawaii,Male,105,E-Cigarette Use (Adults),User Status,Former,24.4,45 to 64
3881,2018,Hawaii,Male,335,E-Cigarette Use (Adults),User Status,Former,24.4,65+
3882,2018,Hawaii,Male,0,Cigarette Use (Adults),Smoking Frequency,Some Days,35.4,25 to 44
3883,2018,Hawaii,Male,105,Cigarette Use (Adults),Smoking Frequency,Some Days,35.4,45 to 64
3884,2018,Hawaii,Male,335,Cigarette Use (Adults),Smoking Frequency,Some Days,35.4,65+
3885,2018,Hawaii,Male,0,Cigarette Use (Adults),Smoking Status,Current,15.8,25 to 44
3886,2018,Hawaii,Male,105,Cigarette Use (Adults),Smoking Status,Current,15.8,45 to 64
3887,2018,Hawaii,Male,335,Cigarette Use (Adults),Smoking Status,Current,15.8,65+
3888,2018,Hawaii,Male,0,Smokeless Tobacco Use (Adults),User Status,Current,4.5,25 to 44
3889,2018,Hawaii,Male,105,Smokeless Tobacco Use (Adults),User Status,Current,4.5,45 to 64
3890,2018,Hawaii,Male,335,Smokeless Tobacco Use (Adults),User Status,Current,4.5,65+
3891,2018,Hawaii,Male,0,Cigarette Use (Adults),Smoking Status,Never,54.3,25 to 44
3892,2018,Hawaii,Male,105,Cigarette Use (Adults),Smoking Status,Never,54.3,45 to 64
3893,2018,Hawaii,Male,335,Cigarette Use (Adults),Smoking Status,Never,54.3,65+
3894,2017,Hawaii,Male,0,Smokeless Tobacco Use (Adults),User Status,Current,4.3,25 to 44
3895,2017,Hawaii,Male,125,Smokeless Tobacco Use (Adults),User Status,Current,4.3,45 to 64
3896,2017,Hawaii,Male,357,Smokeless Tobacco Use (Adults),User Status,Current,4.3,65+
3897,2017,Hawaii,Male,0,E-Cigarette Use (Adults),Frequency of Use,Every Day,48.0,25 to 44
3898,2017,Hawaii,Male,125,E-Cigarette Use (Adults),Frequency of Use,Every Day,48.0,45 to 64
3899,2017,Hawaii,Male,357,E-Cigarette Use (Adults),Frequency of Use,Every Day,48.0,65+
3900,2017,Hawaii,Male,0,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,58.0,25 to 44
3901,2017,Hawaii,Male,125,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,58.0,45 to 64
3902,2017,Hawaii,Male,357,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,58.0,65+
3903,2017,Hawaii,Male,0,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,42.0,25 to 44
3904,2017,Hawaii,Male,125,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,42.0,45 to 64
3905,2017,Hawaii,Male,357,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,42.0,65+
3906,2017,Hawaii,Male,0,Cigarette Use (Adults),Smoking Status,Current,16.1,25 to 44
3907,2017,Hawaii,Male,125,Cigarette Use (Adults),Smoking Status,Current,16.1,45 to 64
3908,2017,Hawaii,Male,357,Cigarette Use (Adults),Smoking Status,Current,16.1,65+
3909,2017,Hawaii,Male,0,E-Cigarette Use (Adults),User Status,Former,19.4,25 to 44
3910,2017,Hawaii,Male,125,E-Cigarette Use (Adults),User Status,Former,19.4,45 to 64
3911,2017,Hawaii,Male,357,E-Cigarette Use (Adults),User Status,Former,19.4,65+
3912,2017,Hawaii,Male,0,E-Cigarette Use (Adults),Frequency of Use,Some Days,52.0,25 to 44
3913,2017,Hawaii,Male,125,E-Cigarette Use (Adults),Frequency of Use,Some Days,52.0,45 to 64
3914,2017,Hawaii,Male,357,E-Cigarette Use (Adults),Frequency of Use,Some Days,52.0,65+
3915,2017,Hawaii,Male,0,Cigarette Use (Adults),Smoking Frequency,Some Days,39.3,25 to 44
3916,2017,Hawaii,Male,125,Cigarette Use (Adults),Smoking Frequency,Some Days,39.3,45 to 64
3917,2017,Hawaii,Male,357,Cigarette Use (Adults),Smoking Frequency,Some Days,39.3,65+
3918,2017,Hawaii,Male,0,Cigarette Use (Adults),Smoking Frequency,Every Day,60.7,25 to 44
3919,2017,Hawaii,Male,125,Cigarette Use (Adults),Smoking Frequency,Every Day,60.7,45 to 64
3920,2017,Hawaii,Male,357,Cigarette Use (Adults),Smoking Frequency,Every Day,60.7,65+
3921,2017,Hawaii,Male,0,Cigarette Use (Adults),Smoking Status,Former,31.1,25 to 44
3922,2017,Hawaii,Male,125,Cigarette Use (Adults),Smoking Status,Former,31.1,45 to 64
3923,2017,Hawaii,Male,357,Cigarette Use (Adults),Smoking Status,Former,31.1,65+
3924,2017,Hawaii,Male,0,E-Cigarette Use (Adults),User Status,Never,74.0,25 to 44
3925,2017,Hawaii,Male,125,E-Cigarette Use (Adults),User Status,Never,74.0,45 to 64
3926,2017,Hawaii,Male,357,E-Cigarette Use (Adults),User Status,Never,74.0,65+
3927,2017,Hawaii,Male,0,Cigarette Use (Adults),Smoking Status,Never,52.8,25 to 44
3928,2017,Hawaii,Male,125,Cigarette Use (Adults),Smoking Status,Never,52.8,45 to 64
3929,2017,Hawaii,Male,357,Cigarette Use (Adults),Smoking Status,Never,52.8,65+
3930,2017,Hawaii,Male,0,E-Cigarette Use (Adults),User Status,Current,6.6,25 to 44
3931,2017,Hawaii,Male,125,E-Cigarette Use (Adults),User Status,Current,6.6,45 to 64
3932,2017,Hawaii,Male,357,E-Cigarette Use (Adults),User Status,Current,6.6,65+
3933,2017,Hawaii,Male,0,Smokeless Tobacco Use (Adults),User Status,Not Current,95.7,25 to 44
3934,2017,Hawaii,Male,125,Smokeless Tobacco Use (Adults),User Status,Not Current,95.7,45 to 64
3935,2017,Hawaii,Male,357,Smokeless Tobacco Use (Adults),User Status,Not Current,95.7,65+
3936,2017,Hawaii,Female,0,E-Cigarette Use (Adults),User Status,Current,2.7,25 to 44
3937,2017,Hawaii,Female,88,E-Cigarette Use (Adults),User Status,Current,2.7,45 to 64
3938,2017,Hawaii,Female,292,E-Cigarette Use (Adults),User Status,Current,2.7,65+
3942,2017,Hawaii,Female,0,Cigarette Use (Adults),Smoking Frequency,Every Day,65.7,25 to 44
3943,2017,Hawaii,Female,88,Cigarette Use (Adults),Smoking Frequency,Every Day,65.7,45 to 64
3944,2017,Hawaii,Female,292,Cigarette Use (Adults),Smoking Frequency,Every Day,65.7,65+
3945,2017,Hawaii,Female,0,Smokeless Tobacco Use (Adults),User Status,Not Current,99.2,25 to 44
3946,2017,Hawaii,Female,88,Smokeless Tobacco Use (Adults),User Status,Not Current,99.2,45 to 64
3947,2017,Hawaii,Female,292,Smokeless Tobacco Use (Adults),User Status,Not Current,99.2,65+
3948,2017,Hawaii,Female,0,E-Cigarette Use (Adults),User Status,Former,12.9,25 to 44
3949,2017,Hawaii,Female,88,E-Cigarette Use (Adults),User Status,Former,12.9,45 to 64
3950,2017,Hawaii,Female,292,E-Cigarette Use (Adults),User Status,Former,12.9,65+
3951,2017,Hawaii,Female,0,Cigarette Use (Adults),Smoking Status,Former,22.3,25 to 44
3952,2017,Hawaii,Female,88,Cigarette Use (Adults),Smoking Status,Former,22.3,45 to 64
3953,2017,Hawaii,Female,292,Cigarette Use (Adults),Smoking Status,Former,22.3,65+
3954,2017,Hawaii,Female,0,Cigarette Use (Adults),Smoking Status,Never,68.3,25 to 44
3955,2017,Hawaii,Female,88,Cigarette Use (Adults),Smoking Status,Never,68.3,45 to 64
3956,2017,Hawaii,Female,292,Cigarette Use (Adults),Smoking Status,Never,68.3,65+
3957,2017,Hawaii,Female,0,Smokeless Tobacco Use (Adults),User Status,Current,0.8,25 to 44
3958,2017,Hawaii,Female,88,Smokeless Tobacco Use (Adults),User Status,Current,0.8,45 to 64
3959,2017,Hawaii,Female,292,Smokeless Tobacco Use (Adults),User Status,Current,0.8,65+
3960,2017,Hawaii,Female,0,Cigarette Use (Adults),Smoking Frequency,Some Days,34.3,25 to 44
3961,2017,Hawaii,Female,88,Cigarette Use (Adults),Smoking Frequency,Some Days,34.3,45 to 64
3962,2017,Hawaii,Female,292,Cigarette Use (Adults),Smoking Frequency,Some Days,34.3,65+
3963,2017,Hawaii,Female,0,Cigarette Use (Adults),Smoking Status,Current,9.4,25 to 44
3964,2017,Hawaii,Female,88,Cigarette Use (Adults),Smoking Status,Current,9.4,45 to 64
3965,2017,Hawaii,Female,292,Cigarette Use (Adults),Smoking Status,Current,9.4,65+
3966,2017,Hawaii,Female,0,E-Cigarette Use (Adults),Frequency of Use,Some Days,54.6,25 to 44
3967,2017,Hawaii,Female,88,E-Cigarette Use (Adults),Frequency of Use,Some Days,54.6,45 to 64
3968,2017,Hawaii,Female,292,E-Cigarette Use (Adults),Frequency of Use,Some Days,54.6,65+
3969,2017,Hawaii,Female,0,E-Cigarette Use (Adults),User Status,Never,84.4,25 to 44
3970,2017,Hawaii,Female,88,E-Cigarette Use (Adults),User Status,Never,84.4,45 to 64
3971,2017,Hawaii,Female,292,E-Cigarette Use (Adults),User Status,Never,84.4,65+
3972,2017,Hawaii,Female,0,E-Cigarette Use (Adults),Frequency of Use,Every Day,45.4,25 to 44
3973,2017,Hawaii,Female,88,E-Cigarette Use (Adults),Frequency of Use,Every Day,45.4,45 to 64
3974,2017,Hawaii,Female,292,E-Cigarette Use (Adults),Frequency of Use,Every Day,45.4,65+
3978,2016,Hawaii,Male,0,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,44.0,25 to 44
3979,2016,Hawaii,Male,116,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,44.0,45 to 64
3980,2016,Hawaii,Male,379,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,44.0,65+
3981,2016,Hawaii,Male,0,Cigarette Use (Adults),Smoking Frequency,Some Days,34.3,25 to 44
